paper_id,author_id
p828cadc3b0c489df819d624262d63c24,aa147e136bfa717592f2bd70bd4b53b17
p828cadc3b0c489df819d624262d63c24,a51454d47392ec641b1957048906763f4
p252311ab24fcb1620a830a7ec6c51899,a7f54a4f47f83e25699fdbdfe51e73ee3
p21948ddff45f29d84c5460c54015ab24,a74bef164d915fa71bacc9bf1fae26abe
p6ed91bea040341253a23abd03f6bcf21,a7157d28a325ff51d020c086cba6e54bf
p6ed91bea040341253a23abd03f6bcf21,aef94783f2b0eef9aa68c0c2ce66995c9
p6ed91bea040341253a23abd03f6bcf21,a90e3aa1f9d2ffe4030af699c8c974030
p98fbe207cfbb9deee6da45a9eddb15df,a7f54a4f47f83e25699fdbdfe51e73ee3
p187ddaf28491c14fc3766701289b2e38,a6d66e251a477c8fe78b03dcff261ec67
p1737ee65fea6469bfbec8d3ce08efbdc,a740ef4c0eb7d7bf42e40626d2648fa53
pd6573cd99599d42d9fc474bd3e98e28e,a740ef4c0eb7d7bf42e40626d2648fa53
p1a7b48f3ae5804773547cc38ef3bf9d1,a04887e906625c204c0be8fc514703f81
pcb2c76206926429dcce166a21b4099bf,aab8a7fbf37306725b0885abf201d69f0
pcb2c76206926429dcce166a21b4099bf,a7f54a4f47f83e25699fdbdfe51e73ee3
pde2fcda2f570abe55ccbfe519245c7cd,a6d482e00216051659d66df8ea05d72fe
pde2fcda2f570abe55ccbfe519245c7cd,a3a26ec6fd692079c21629efe3950c24e
pcb8812e9c700b6185102e4d9499f1402,aeba7f6bc40b4631346f60dff334d640a
pd11841d4df74777fe0a55bcddca08735,a10b2672c37e783b6d064a637604c8a6d
p654c89ebfdfdecfb6b3439f30c4165d5,a4e890c5b0cd77b24fe0d13559f4dba31
pd3b9affcc3aabadf41a12dd5f3535aac,a6154f82f09b650eeb0de6df6c15d39d2
p9b0768687dd852a39bb9fa3c55fce146,ac093cbd4803e23d080d90cdb74639e82
p75b923764e7cde3309ae00921ee4f731,a6989023c8ef33998eadcd9fcfd9d9b70
p2ac6fdd7bdce6494adffcdff162244e2,a636d96514b3c37fffc1437de7a7a4c8c
p8e6f162665e0179f76859ea6990e2d45,ad9b3accea422301b093ec62d4cda632b
p8e6f162665e0179f76859ea6990e2d45,a561a0e601572efd47266f2bb47c40b24
p8e6f162665e0179f76859ea6990e2d45,af11bda8c649e287aa34568f4e81eb064
p8e6f162665e0179f76859ea6990e2d45,a1280e439e48e6e1d38c56b4ca4a69430
pe10810b3b5b898be9b9fb13a86bfa013,aaf568dd66f8c97786440147672e9e5ce
pe10810b3b5b898be9b9fb13a86bfa013,ad4df5d39977a663a2637e54713e02ff1
pe10810b3b5b898be9b9fb13a86bfa013,acb537b55597c7ddb3cc5584555f08c21
pe10810b3b5b898be9b9fb13a86bfa013,ab1da0af9fd4d787ca294a80e1040c2aa
pe10810b3b5b898be9b9fb13a86bfa013,af92744592dd2011cfff86ae009f10459
p6e368307f1c31f36e09d5060384065e6,a1e3202a03ee257276d572ba9bd4b2f11
p6e368307f1c31f36e09d5060384065e6,acb537b55597c7ddb3cc5584555f08c21
p6e368307f1c31f36e09d5060384065e6,af92744592dd2011cfff86ae009f10459
p193d8a7eb6ecc029063ae27e46108af1,a3994d7f8f726995af94a45c2e504f900
pda223f458728f4ea8a3e13b09e8791c1,af0fa33a291d97479f0547bf54394b089
p4da5cd16c748875ec892de800a097c26,a09bf6c6837cb23490445316e4004f5a2
p4190c94c7f112a8db4e7da7255462f67,a1058e453d381c1944abebd9f25eb451b
p3bc2f6476eb407e9832cea5476a37e50,a4af5626e18fb11cc6e92f189a749e0f4
p65a679715f789be9590afb6777496172,a9ba82a7fc7094f1741be4c742c7353f1
pba19ac1f2211011b384bad40a56d3b7e,a82999a21466d5e4423b04c4ac05b3cc8
p81c751e8d64fc0676dd8e2f04649fd91,ab211ce49fb0a190a2f1faf42beab95de
p81b4d00bc2bf7aecda8483886f4327aa,add72a6fa238bfafcd756f0aac83d66d1
p1516a92f22613224c8f2a71cc7b87564,a0a91e8014c4292ab187e22c52c5e14cd
p45b46b41b540a2249cff77db0cb17abb,a95d9c1e641a94da9dc681b69f6d34f1c
p45b46b41b540a2249cff77db0cb17abb,ae000dc1673e62978461edc2491821ad4
p80985d031be0fee92165a4211452ca7a,a95d9c1e641a94da9dc681b69f6d34f1c
p80985d031be0fee92165a4211452ca7a,ae000dc1673e62978461edc2491821ad4
p926eb895e29fba0c20bba9a0c23119e8,a63b4498da12e316ba86ef413e2870295
p926eb895e29fba0c20bba9a0c23119e8,aef7f452bee4414816d6c4bfbcd53a645
pda671092a1ddfdc6417dca45cab987a2,a235725843dda4474da2bd73c22b2485d
paeac06695898113b296fb6f43c77c89b,a9eccb74ea2f4a8a7814e370a9e7a4478
p76a44cf3547b93c9a873da47de46735f,afad37182fb09449f0595d7aad354599b
p14d830080ef04d03e04ffa4165c97ce6,a44944a940645d1dbeebed9e11f14f868
p14d830080ef04d03e04ffa4165c97ce6,a01623fa9a0b626622e601a775bd59a65
p14d830080ef04d03e04ffa4165c97ce6,ad8e21be3a093746eb18e54321089ce49
pb02e2821f180727e038c4fe4376eff7e,a303dcb2fa693725a1e3f382ff6e02d55
pb02e2821f180727e038c4fe4376eff7e,a7880934fd8f1b9ed434aac9cacee5969
pb02e2821f180727e038c4fe4376eff7e,a273d6e8d436d9e8e05ffc02f695027a8
p47f4173cc9a8c2398b9d5c81c56788f8,aded6cdf7e936931aec5b4a382ad8c62a
p282da67c4d8da20feddd09cbd62f5f31,a8f6de74561b8cb8c971119f4888d4a8a
pbc36bf4d3c4b5be501c011f2e40c40c6,a155a72c23fb9cc620d0b904aaef5eb58
p4df6e38f33d3fa80bda9bc8e6084d805,ab9d7b113517203174ae1b42f621be247
p4df6e38f33d3fa80bda9bc8e6084d805,af10ab51919cf6e5bf1719c3a21a08995
p9343d989a89430d497cc8c5f94f0a2f9,aa9c532a4187e7cd32193c493a6da3a8f
p9343d989a89430d497cc8c5f94f0a2f9,af60119ea8883fbf77f79c455a9bcd80f
p58ad11790f38cd9d310583e3969d4832,a5ad944887c72fe5173fca1048f657c83
pbc5900f6704b8719792ab67e2a9c2659,a3ae698cce847b2bf08137ccde5ed4b3b
p701bd1a269ae7be0708ec921eadc9a96,a76cd235c025a9b21c4ba721e31d82051
pfe63a84c690f026dc8f9b59c095d3896,ae3d9d2b2104e4676f2c3e32fdc203ae1
p39190f36b77db9bbf302c18f6d52aae9,a45dc267e61faa159aa644a5d12f04654
p1268cbd2bba36041a66a9e79f989cabd,a45dc267e61faa159aa644a5d12f04654
p517976082403feae82ce8a3c6d3d8376,a14ae9a4b2d52625e6bf47917e66a66c9
p38255f81299f1768480068126321ae42,a7cdc7df08fac41c0eb4f61825ce937e7
p9e433b5193e8ddf05216c29034e605a3,af5bb15c6a16d4c93f5bfd148192d8e82
p9e433b5193e8ddf05216c29034e605a3,a3442e1c22fcd867db4cfbf9fe62f885b
p9e433b5193e8ddf05216c29034e605a3,a259849e24dffb2e64fbc31202e71bad7
p9e433b5193e8ddf05216c29034e605a3,a6d69643bacbb60432aba7a68789632bf
p593ec70d4dfc5a52b579e6c19a8d1ead,a1f76afc5b098441fba642d14d4acabcc
p593ec70d4dfc5a52b579e6c19a8d1ead,a3bdc69da60f9dd8ab2215609e7b1c5cb
p593ec70d4dfc5a52b579e6c19a8d1ead,a4a8a3568398ab1993a443bac69cf5619
p593ec70d4dfc5a52b579e6c19a8d1ead,ad417797abcce2adafc5216972a188a93
p580adb69d02d53a57aa3384ba462d562,a1f76afc5b098441fba642d14d4acabcc
p580adb69d02d53a57aa3384ba462d562,a3bdc69da60f9dd8ab2215609e7b1c5cb
p580adb69d02d53a57aa3384ba462d562,a513f807ee2ff21d1851e2e9b1d2966ee
p650d77983ece6bc718dcaeea1574bd9e,a1f76afc5b098441fba642d14d4acabcc
p650d77983ece6bc718dcaeea1574bd9e,a82cdbd94a138070d230f4afc99926b8c
