paper_id,classification_id
p84dad78c4c0f409e9c303bdada282d21,cd86bae57ea5ec23788b730b29ce7e722
p84dad78c4c0f409e9c303bdada282d21,c027921bc15a48f3e3a2c38adb5663742
p84dad78c4c0f409e9c303bdada282d21,c7161273ab565dbe388c0dec010bd6c43
p84dad78c4c0f409e9c303bdada282d21,c1c501f65a338df42b5f259b7d0903373
p84dad78c4c0f409e9c303bdada282d21,c5ebca6d9027184378aa95cd13a3b9626
p2abf19613cb51b89f00f0064a973265a,c77631ca4f0e08419b70726a447333ab6
pe0526f8b07ae690d9725a1c91cac1038,c77631ca4f0e08419b70726a447333ab6
p533fd290c0202afc2502fc621ff4170c,cad1ec60c9e1f10f6a9f5d9f2c5254bc6
p533fd290c0202afc2502fc621ff4170c,c4b1b4dc8cf38b3c64b1d657da8f5ac8c
p533fd290c0202afc2502fc621ff4170c,ccc5d90569e1c8313c2b1c2aab1401174
p5f78c6ffdd2dea1da68c29dd5e16742d,c77631ca4f0e08419b70726a447333ab6
p5f78c6ffdd2dea1da68c29dd5e16742d,c92e639d3d5951901965d62b0075096c6
p5f78c6ffdd2dea1da68c29dd5e16742d,c8af0f5c3edad8d8e158ff27b9f03afac
pe2d9f1d9b060ff925d7d9be39ace3a33,ca4704fd35f0308287f2937ba3eccf5fe
pc6b8e591b76f23f3db129f1f462bfb7c,c1de0cc94f381baa599628e43cbf815e0
pda8994f048a42bfd6de1d3c79013529a,c1d17cb9923b99f823da9f5a16dc460e5
pda8994f048a42bfd6de1d3c79013529a,c181900dad960beccb34f53c4e0ff4647
pda8994f048a42bfd6de1d3c79013529a,ced048ecb34024ea59fc19f53a6e55372
pc6044a670fedbf31f77ac4327d1a9751,cad1ec60c9e1f10f6a9f5d9f2c5254bc6
pc6044a670fedbf31f77ac4327d1a9751,c4b1b4dc8cf38b3c64b1d657da8f5ac8c
pc6044a670fedbf31f77ac4327d1a9751,c1d17cb9923b99f823da9f5a16dc460e5
p4114dd146efe0cfa3c75d3518a7319b0,cac579bdd709aac10eef3672da2151064
p650e4451cc321ec51e79eb27f7911aef,c66c153dffffacb388f200aadb1dba1fd
pe268b2a8a7eb21c98c206237694fb844,c3897b7e19d693c2555dc02e33c3f72de
pe268b2a8a7eb21c98c206237694fb844,c0e23b00f4cf250343b932db6c147d5e7
pe268b2a8a7eb21c98c206237694fb844,cbd6aac0607722eefb1b9c79b034b35a9
pe268b2a8a7eb21c98c206237694fb844,c75501ebe47909929fcc2b6fe8541595c
p252311ab24fcb1620a830a7ec6c51899,c24f5e1353558af5555203395ccee1175
p21948ddff45f29d84c5460c54015ab24,c6719658521aa3b81bf4fbbb4b085998d
p6ed91bea040341253a23abd03f6bcf21,c4f76a9a57d76ee277a3334513e0c92da
p98fbe207cfbb9deee6da45a9eddb15df,cc8a787feee668f698f47e3dad6e88abd
p187ddaf28491c14fc3766701289b2e38,cadbea8abd2b9d7e42e912318c9962e24
p1737ee65fea6469bfbec8d3ce08efbdc,cfd69c5cf902969e6fb71d043085ddee6
p1737ee65fea6469bfbec8d3ce08efbdc,c05aeba473f4906b85c7627ba045e890a
p1737ee65fea6469bfbec8d3ce08efbdc,ceae639a70006feff484a39363c977e24
pd6573cd99599d42d9fc474bd3e98e28e,c24f5e1353558af5555203395ccee1175
pcb8812e9c700b6185102e4d9499f1402,c6e0d8d1239cb1f2a2d1c495c6b2fbf61
p654c89ebfdfdecfb6b3439f30c4165d5,c77631ca4f0e08419b70726a447333ab6
pd3b9affcc3aabadf41a12dd5f3535aac,ca4704fd35f0308287f2937ba3eccf5fe
pd3b9affcc3aabadf41a12dd5f3535aac,c74575b23d5305310e904f87eb02ff980
p75b923764e7cde3309ae00921ee4f731,c181900dad960beccb34f53c4e0ff4647
p75b923764e7cde3309ae00921ee4f731,ced048ecb34024ea59fc19f53a6e55372
p75b923764e7cde3309ae00921ee4f731,cad1ec60c9e1f10f6a9f5d9f2c5254bc6
p2ac6fdd7bdce6494adffcdff162244e2,c39e61d57e9209611edd4f884e9e47c11
p8e6f162665e0179f76859ea6990e2d45,ca4704fd35f0308287f2937ba3eccf5fe
pe10810b3b5b898be9b9fb13a86bfa013,caada29daee1d64ed0fe907043855cb7e
p6e368307f1c31f36e09d5060384065e6,cc21f94bde3dcc2354b4d64b92d82b5c9
p6e368307f1c31f36e09d5060384065e6,c2a5a93caf31cbc3e2b9073d7e7c7dd70
pda223f458728f4ea8a3e13b09e8791c1,ca4704fd35f0308287f2937ba3eccf5fe
p3bc2f6476eb407e9832cea5476a37e50,c3d6237b7105f7861804038f71dd6a550
pba19ac1f2211011b384bad40a56d3b7e,c77631ca4f0e08419b70726a447333ab6
p81c751e8d64fc0676dd8e2f04649fd91,ced5dea09095f671b801bee34ea28a319
p81b4d00bc2bf7aecda8483886f4327aa,c77631ca4f0e08419b70726a447333ab6
p1516a92f22613224c8f2a71cc7b87564,ca4704fd35f0308287f2937ba3eccf5fe
p45b46b41b540a2249cff77db0cb17abb,c4b74ce8aa6f3f2a4b7661e5386727ed8
p45b46b41b540a2249cff77db0cb17abb,cf70cf526b32d5c73a944d9850b898355
p45b46b41b540a2249cff77db0cb17abb,c75e4d7d5ed80f2bb4c31b6b5a8dfc04b
p45b46b41b540a2249cff77db0cb17abb,c4ec11f77959aa210715c570615c2c517
p80985d031be0fee92165a4211452ca7a,c014f2d79a668b9a3f8fe6ec8acda6722
p80985d031be0fee92165a4211452ca7a,c0517409e7f284918978d3b4715a24077
p80985d031be0fee92165a4211452ca7a,c0416ec83c462b4cf701f238a232e92fd
p80985d031be0fee92165a4211452ca7a,c6e4e50e38fdf94b800891c532bf2f5e7
p80985d031be0fee92165a4211452ca7a,c63f69c7f958795918b41fbcd71a8c811
paeac06695898113b296fb6f43c77c89b,c77631ca4f0e08419b70726a447333ab6
paeac06695898113b296fb6f43c77c89b,cdbd1d39db6a02c12d8934123bb2153e9
p14d830080ef04d03e04ffa4165c97ce6,ca4704fd35f0308287f2937ba3eccf5fe
p14d830080ef04d03e04ffa4165c97ce6,cf447ac856e7e72435904956e3b15f433
p14d830080ef04d03e04ffa4165c97ce6,c4d70254b3a8e2bc38b6147fa6ee813be
pbc36bf4d3c4b5be501c011f2e40c40c6,cc076e4fd1559721e171432e66b70a487
p58ad11790f38cd9d310583e3969d4832,c6070c50fbf0860ece540ba003386b27b
p58ad11790f38cd9d310583e3969d4832,c00b18c913b33fadf282636d1005e6725
p58ad11790f38cd9d310583e3969d4832,c0312d03745ebb81310750702d5dea1eb
p58ad11790f38cd9d310583e3969d4832,c17ffd0ef72f7221866283fdda8cb13f7
p58ad11790f38cd9d310583e3969d4832,ca7b261cffcb91a7b49b72db93b2d0b5b
p58ad11790f38cd9d310583e3969d4832,c82cc40e511dff1d8762a2bad249848ac
pbc5900f6704b8719792ab67e2a9c2659,c489ce18e2a9d9c96cc68cf2283ab5fbc
pbc5900f6704b8719792ab67e2a9c2659,c988f62c7de623c3c3118a4b03d575cef
pbc5900f6704b8719792ab67e2a9c2659,ca49caba389480a6444ca610bc95b6b9e
p701bd1a269ae7be0708ec921eadc9a96,cd4c1a1d866413440ecbd3cba7da8548c
p701bd1a269ae7be0708ec921eadc9a96,c7c19187658a47ad3a75437e4ef5a62f6
p701bd1a269ae7be0708ec921eadc9a96,c87a926fa02814f839f65d546ba199187
p701bd1a269ae7be0708ec921eadc9a96,ced9f98665dc9109ece82c491b6613c54
pfe63a84c690f026dc8f9b59c095d3896,c8ddf793655a47d1de2721e32313ebf36
pfe63a84c690f026dc8f9b59c095d3896,cbc83e5040eb0fecf47cfacaa19297b4b
pfe63a84c690f026dc8f9b59c095d3896,ceec89088ee408b80387155272b113256
p39190f36b77db9bbf302c18f6d52aae9,c99442e94b8aedfaff00e0752719ee7b9
p517976082403feae82ce8a3c6d3d8376,cff369645ae48b998d76f05eafc6c9778
p517976082403feae82ce8a3c6d3d8376,cf733feceb99d9efb4e1dee5e0f2deea5
p517976082403feae82ce8a3c6d3d8376,cd43e4f06a56ce0918ace437dc42ec644
p517976082403feae82ce8a3c6d3d8376,c82f6be9d6372dc22a316074cf5f9fe25
p9e433b5193e8ddf05216c29034e605a3,ca4704fd35f0308287f2937ba3eccf5fe
p9e433b5193e8ddf05216c29034e605a3,c93b35952d0f7a6db338dc3cbc4e43df7
p593ec70d4dfc5a52b579e6c19a8d1ead,c3410e876b1d9070072a6d868c2ea1b08
p580adb69d02d53a57aa3384ba462d562,c627087bd7b87bf459235e616782e864a
p580adb69d02d53a57aa3384ba462d562,c9c4cf325b83d8c0f6f2f0e73ad839457
p580adb69d02d53a57aa3384ba462d562,cf114e9e554a7a4345bbefd386435ad18
p449a8aa7e29afe1acf3ab47a0c803b1c,cffeb4fc5dd5990de8a7996682c739337
p449a8aa7e29afe1acf3ab47a0c803b1c,c73ee52721c776e368c6f151a598f68c2
